GOOG,Date
1781.7700,2020-12-11
1775.3300,2020-12-10
1784.1300,2020-12-09
1818.5500,2020-12-08
1819.4800,2020-12-07
1827.9900,2020-12-04
1826.7700,2020-12-03
1827.9500,2020-12-02
1798.1000,2020-12-01
1760.7400,2020-11-30
1793.1900,2020-11-27
1771.4300,2020-11-25
1768.8800,2020-11-24
1734.8600,2020-11-23
1742.1900,2020-11-20
1763.9200,2020-11-19
1746.7800,2020-11-18
1770.1500,2020-11-17
1781.3800,2020-11-16
1777.0200,2020-11-13
1749.8400,2020-11-12
1752.7100,2020-11-11
1740.3900,2020-11-10
1763.0000,2020-11-09
1761.7500,2020-11-06
1763.3700,2020-11-05
1749.1300,2020-11-04
1650.2100,2020-11-03
1626.0300,2020-11-02
1621.0100,2020-10-30
1567.2400,2020-10-29
1516.6200,2020-10-28
1604.2600,2020-10-27
1590.4500,2020-10-26
1641.0000,2020-10-23
1615.3300,2020-10-22
1593.3100,2020-10-21
1555.9300,2020-10-20
1534.6100,2020-10-19
1573.0100,2020-10-16
1559.1300,2020-10-15
1568.0800,2020-10-14
1571.6800,2020-10-13
1569.1500,2020-10-12
1515.2200,2020-10-09
1485.9300,2020-10-08
1460.2900,2020-10-07
1453.4400,2020-10-06
1486.0200,2020-10-05
1458.4200,2020-10-02
1490.0900,2020-10-01
1469.6000,2020-09-30
1469.3300,2020-09-29
1464.5200,2020-09-28
1444.9600,2020-09-25
1428.2900,2020-09-24
1415.2100,2020-09-23
1465.4600,2020-09-22
1431.1600,2020-09-21
1459.9900,2020-09-18
1495.5300,2020-09-17
1520.9000,2020-09-16
1541.4400,2020-09-15
1519.2800,2020-09-14
1520.7200,2020-09-11
1532.0200,2020-09-10
1556.9600,2020-09-09
1532.3900,2020-09-08
1591.0400,2020-09-04
1641.8400,2020-09-03
1728.2800,2020-09-02
1660.7100,2020-09-01
1634.1800,2020-08-31
1644.4100,2020-08-28
1634.3300,2020-08-27
1652.3800,2020-08-26
1608.2200,2020-08-25
1588.2000,2020-08-24
1580.4200,2020-08-21
1581.7500,2020-08-20
1547.5300,2020-08-19
1558.6000,2020-08-18
1517.9800,2020-08-17
1507.7300,2020-08-14
1518.4500,2020-08-13
1506.6200,2020-08-12
1480.3200,2020-08-11
1496.1000,2020-08-10
1494.4900,2020-08-07
1500.1000,2020-08-06
1473.6100,2020-08-05
1464.9700,2020-08-04
1474.4500,2020-08-03
1482.9600,2020-07-31
1531.4500,2020-07-30
1522.0200,2020-07-29
1500.3400,2020-07-28
1530.2000,2020-07-27
1511.8700,2020-07-24
1515.6800,2020-07-23
1568.4900,2020-07-22
1558.4200,2020-07-21
1565.7200,2020-07-20
1515.5500,2020-07-17
1518.0000,2020-07-16
1513.6400,2020-07-15
1520.5800,2020-07-14
1511.3400,2020-07-13
1541.7400,2020-07-10
1510.9900,2020-07-09
1496.0000,2020-07-08
1485.1800,2020-07-07
1495.7000,2020-07-06
1464.7000,2020-07-02
1438.0400,2020-07-01
1413.6100,2020-06-30
1394.9700,2020-06-29
1359.9000,2020-06-26
1441.3300,2020-06-25
1431.9700,2020-06-24
1464.4100,2020-06-23
1451.8600,2020-06-22
1431.7200,2020-06-19
1435.9600,2020-06-18
1451.1200,2020-06-17
1442.7200,2020-06-16
1419.8500,2020-06-15
1413.1800,2020-06-12
1403.8400,2020-06-11
1465.8500,2020-06-10
1456.1600,2020-06-09
1446.6100,2020-06-08
1438.3900,2020-06-05
1412.1800,2020-06-04
1436.3800,2020-06-03
1439.2200,2020-06-02
1431.8200,2020-06-01
1428.9200,2020-05-29
1416.7300,2020-05-28
1417.8400,2020-05-27
1417.0200,2020-05-26
1410.4200,2020-05-22
1402.8000,2020-05-21
1406.7200,2020-05-20
1373.4800,2020-05-19
