AMZN,Date
3116.4200,2020-12-11
3101.4900,2020-12-10
3104.2000,2020-12-09
3177.2900,2020-12-08
3158.0000,2020-12-07
3162.5800,2020-12-04
3186.7300,2020-12-03
3203.5300,2020-12-02
3220.0800,2020-12-01
3168.0400,2020-11-30
3195.3400,2020-11-27
3185.0700,2020-11-25
3118.0600,2020-11-24
3098.3900,2020-11-23
3099.4000,2020-11-20
3117.0200,2020-11-19
3105.4600,2020-11-18
3135.6600,2020-11-17
3131.0600,2020-11-16
3128.8100,2020-11-13
3110.2800,2020-11-12
3137.3900,2020-11-11
3035.0200,2020-11-10
3143.7400,2020-11-09
3311.3700,2020-11-06
3322.0000,2020-11-05
3241.1600,2020-11-04
3048.4100,2020-11-03
3004.4800,2020-11-02
3036.1500,2020-10-30
3211.0100,2020-10-29
3162.7800,2020-10-28
3286.3300,2020-10-27
3207.0400,2020-10-26
3204.4000,2020-10-23
3176.4000,2020-10-22
3184.9400,2020-10-21
3217.0100,2020-10-20
3207.2100,2020-10-19
3272.7100,2020-10-16
3338.6500,2020-10-15
3363.7100,2020-10-14
3443.6300,2020-10-13
3442.9300,2020-10-12
3286.6500,2020-10-09
3190.5500,2020-10-08
3195.6900,2020-10-07
3099.9600,2020-10-06
3199.2000,2020-10-05
3125.0000,2020-10-02
3221.2600,2020-10-01
3148.7300,2020-09-30
3144.8800,2020-09-29
3174.0500,2020-09-28
3095.1300,2020-09-25
3019.7900,2020-09-24
2999.8600,2020-09-23
3128.9900,2020-09-22
2960.4700,2020-09-21
2954.9100,2020-09-18
3008.7300,2020-09-17
3078.1000,2020-09-16
3156.1300,2020-09-15
3102.9700,2020-09-14
3116.2200,2020-09-11
3175.1100,2020-09-10
3268.6100,2020-09-09
3149.8400,2020-09-08
3294.6200,2020-09-04
3368.0000,2020-09-03
3531.4500,2020-09-02
3499.1200,2020-09-01
3450.9600,2020-08-31
3401.8000,2020-08-28
3400.0000,2020-08-27
3441.8500,2020-08-26
3346.4900,2020-08-25
3307.4600,2020-08-24
3284.7200,2020-08-21
3297.3700,2020-08-20
3260.4800,2020-08-19
3312.4900,2020-08-18
3182.4100,2020-08-17
3148.0200,2020-08-14
3161.0200,2020-08-13
3162.2400,2020-08-12
3080.6700,2020-08-11
3148.1600,2020-08-10
3167.4600,2020-08-07
3225.0000,2020-08-06
3205.0300,2020-08-05
3138.8300,2020-08-04
3111.8900,2020-08-03
3164.6800,2020-07-31
3051.8800,2020-07-30
3033.5300,2020-07-29
3000.3300,2020-07-28
